Comments,Company,Date,GeneralScore,LMScore
"b'Wed. Nov. 28, 2018\nTop 5 stocks..\nUp:\n$SAVE $NFLX $HD $ASNS $LOW\n$AMZN $CRM $BURL $GOOGL $BA\n$ADBE $NFLX $W\n\n&amp;\n\nDow... https://t.co/CtjEhBHAvh'",$HD,11/28/2018,0,0
"b'The #HomeDepot Inc. ( $HD ) Stocks seek more gains, one of the Best U.S. #ConsumerStocks. https://t.co/PqeoEAh4BE'",$HD,11/28/2018,0.2,0.222222222
"b'5 Best U.S. Consumer Stocks https://t.co/foY1SXgTRg $DIS, $SBUX, $VFC, $HD, $GNTX'",$HD,11/28/2018,0.125,0.125
b'Cincinnati Insurance Company Has Upped Its Analog Devices Ord $ADI Position; Jefferies Group Cut By $28.97 Million... https://t.co/L02N1v4pnF',$HD,11/28/2018,0.076923077,0
b'Largest $Notional Sell On Close Order Imbalances $AET $IT $HCA $C $HD $ZAYO $USFD $RPM $BAC $RTN https://t.co/V7Aciy2vFa',$HD,11/28/2018,0,-0.142857143
b'Made $20k today. Thanks to the option trades from https://t.co/dUZ5RTtMna $HD $BZUN $AAP $CRON $CSIQ $TPR $EAT $CAE... https://t.co/Ojj0oWh58F',$HD,11/28/2018,0.142857143,0
b'#estate asset watch - price x volume leaders today - $AMZN $AAPL $MSFT $NFLX $FB $BABA $CRM $NVDA $AMD $GOOG... https://t.co/vRLTFyLTgM',$HD,11/28/2018,0.058823529,0
b'#estate asset watch - top Dow 30 gainers today $DIA - $BA $UNH $CAT $AAPL $V $HD $GS $MSFT $MMM $MCD $AXP $IBM $JNJ... https://t.co/RyHcnvl83Y',$HD,11/28/2018,0.055555556,0
b'and i saw $HD at 9:45. smh. was like perfecto. No execution.',$HD,11/28/2018,0,0
"b""Did'nt take $AAPL or $HD calls yesterday, miss the $GBTC bounce. poopy.  Only play left for me im waiting on is oil... https://t.co/e5opQkuNVQ""",$HD,11/28/2018,0,-0.071428571
b'Trade Alert - Exit - HD\n\n49.57% gain on call options\n\n$HD',$HD,11/28/2018,0.285714286,0
b'Had an awesome long entry on $HD 3 contracts and once Powell started speaking it started to spike. Ended up going u... https://t.co/5YgKm9roAz',$HD,11/28/2018,0,-0.090909091
b'$HD Took 1/4th off @ 176 for 2.4% gains. Holding final 2/3rd swing now',$HD,11/28/2018,0.142857143,0.166666667
b'$HD sold my payday shares for some great coin.  Holding full swing &amp; in time might get to place some in the let it ride folder.  Stop raised',$HD,11/28/2018,-0.052631579,0
"b'Highlighted $HD yesterday; https://t.co/EN6Tdle1g2, moving well today(+1.7%), opened long this morn($172.01), sure... https://t.co/ArtJMpLDwX'",$HD,11/28/2018,0.181818182,0
b'Wow these $HD allready 4.06 from 2.21   @pappystar deserves credits for bringing this to my attention ',$HD,11/28/2018,0.428571429,0
"b""which event will provide the next market drive after Mr. Powell's speech? $SPY $DIA $UCO $GLD $IWM $XLK $XLE $XLF... https://t.co/yrEFxbmey5""",$HD,11/28/2018,0.055555556,-0.058823529
b'$AAPL $AMZN $ADBE $MSFT $HD Welcome back. Dow +500 now.',$HD,11/28/2018,0.25,0
"b'$GRWG As of September 30, 2018, the Company had total assets of $36.2 million compared to total assets of $9.2 mill... https://t.co/LRnVAgiXap'",$HD,11/28/2018,0.272727273,0
"b'$GRWG The Company had $14.3 million in cash and cash equivalents at September 30, 2018 #Hemp #Cannabis #Hydroponics... https://t.co/Hi3IRSLuF8'",$HD,11/28/2018,0.090909091,0
"b'$GRWG YTD revenue of $20 million, up 86% compare to YTD revenue of $10.7 million for 2017 #Hemp #Cannabis... https://t.co/nzfdHqU120'",$HD,11/28/2018,0,0
"b'$GRWG Revenue of $8.4 million, up 109%, compared to revenue of $4.0 million for the 3rd quarter of 2017 #Hemp... https://t.co/IWVbk9lSmI'",$HD,11/28/2018,0,0
"b'$GRWG As of September 30, 2018, the Company had total assets of $36.2 million compared to total assets of $9.2 mill... https://t.co/2dhvh017rO'",$HD,11/28/2018,0.272727273,0
