Company,Date,Tweet,GeneralScore,LMScore
$HD,11/29/2018,"b""Macy's $M settled -2.0% at $33.74. S/t price structure is a bear flag. If the main market rolls over, support 29s,a https://t.co/u2uZpjrZIE""",-0.153846154,0
$HD,11/29/2018,b'$HD just out of a 2B reversal held up at the mid BB',0,0
$HD,11/29/2018,"b""Target and Lowe's Have Their Eyes on the Long-Term Prize https://t.co/wTSaPseGsa $TGT $LOW $LB $HD https://t.co/Frs5n6LNMc""",0,0
$HD,11/29/2018,b'@JoshManMode where do you buy the toys?\nis it $HD or your local hardware store?',0,0
$HD,11/29/2018,b'Blue Chip Partners Has Lifted By $1.00 Million Its Home Depot (HD) Position ... https://t.co/YptH3RQKKw $HD #stocks #stockmarket',0.0625,0.090909091
$HD,11/29/2018,"b""Target and Lowe's Have Their Eyes on the Long-Term Prize https://t.co/VXpJlOE9G4 $TGT $LOW $LB $HD https://t.co/AOuNy5HAY9""",0,0
$HD,11/29/2018,b'$KSS $EFX $DIS $JCI $C $UNH $XOM $ABT $ZAYO $GIS $HD $JWN $ALL $MCD $DG $PFE $PM $V $MO $JNJ $HRB $NCLH Largest MOCa https://t.co/LAtkwEuAfg',0,0
$HD,11/29/2018,"b'As Ford Mtr Co Del $Call $F Share Value Declined, Masters Capital Management Increased Holding; Alethea Capital Mana https://t.co/pm3W1vsmbL'",0.090909091,-0.0625
$HD,11/29/2018,"b'$HD Home Depot, Inc. (The) SEC Filing: Form 424B2 https://t.co/MUGhrfIv9f'",0,0
$HD,11/29/2018,b'@DinoFazio @petenajarian $kss $tgt $m $wmt Market is anticipating a slow down next year. These stores are investinga https://t.co/AfwcV6UL9a',-0.090909091,-0.076923077
$HD,11/29/2018,"b'Interesting notes on M-V Optimization exercise: $LULU is much less correlated than other stocks, possibly due to tha https://t.co/EkZFIOF9AH'",-0.083333333,0
$HD,11/29/2018,b'#estate asset watch- price x volume leaders today - $AMZN $AAPL $NFLX $BABA $FB $MSFT $NVDA $AMD $TWTR $BA $QCOMa https://t.co/zBIdJ49zka',0.2,0
$HD,11/29/2018,b'$HE $SWAY $ONE $ACRE $TOO $MAIN\n$IT $PAY $TWO $SEAS $AGO\n$BWA! $I $MET $MS $HD',0,0
$HD,11/29/2018,b'$HD perfect deal Risk / Reward Ratio 1:3 \n#stockmarket #SPY #QQQ https://t.co/USwR4iRFn3',-0.153846154,0.222222222
$HD,11/29/2018,b'Made $20K today. Thanks to the option trade alerts from https://t.co/mQJ0u5cyYD $LNG $NTES $XNET $JD $QCOM $ADTNa https://t.co/uRZLfT2S92',0,-0.076923077
$HD,11/29/2018,b'Office Depot turns its empty retail space into WeWork-like office rentals - Company recently posted positive earnina https://t.co/n4vWGeFZPY',0,0.066666667
$HD,11/29/2018,"b""Target and Lowe's Have Their Eyes on the Long-Term Prize https://t.co/wP3CSBOTDQ $TGT $LOW $LB $HD https://t.co/mgEWPgaxkC""",-0.25,0
$HD,11/29/2018,b'Deal or no deal? Probably already decided. Does it matter if Navarro @G20? $spy $dia $uco $iwm $gld $uup $jpm $baca https://t.co/sF58ocokcJ',0.285714286,0
$HD,11/29/2018,"b""Target and Lowe's Have Their Eyes on the Long-Term Prize https://t.co/Lbibff5eL3 $TGT $LOW $LB $HD https://t.co/WhoTa5m1Zz""",0.066666667,0
$HD,11/29/2018,b'RT @Greenbackd: Joel GreenblattaTMs Gotham Asset Management Top Ten Positions at 9-30-2018: \n\n1. $WMT Walmart\n2. $AAPL Apple\n3. $VZ Verizon\n4a',0,0.066666667
$HD,11/29/2018,b'Walmart and Home Depot have pulled some planned purchases forward to get ahead of any potential increases or expansa https://t.co/9Ye5zbdhdn',0,0
$HD,11/29/2018,b'$HD:\n\nHome Depot Prices US$3.5bn Bond While Weathering Sluggish a:\n\nhttps://t.co/0X9cMhW1og',0,-0.111111111
$HD,11/29/2018,b'Can $xlf go higher amid new rate hiking expectations? $spy $dia $gld $iwm $uco $xle $xlk $xlb $xli $xlp $xly $xlua https://t.co/jBDe3MosPv',0,0
$HD,11/29/2018,b'Pending U.S. home sales tumble to 4-year low in latest sign of a housing-market correction  https://t.co/B8I2LFFQrza https://t.co/UmHSBf154E',-0.083333333,-0.083333333
$HD,11/29/2018,"b""Lowe\\'s Stock: Can We Expect Upside Potential? $HD $WSM $XHB $LOW https://t.co/XNwlucP8uB https://t.co/ws0ApLbkxm""",0.055555556,0
$HD,11/29/2018,"b'As Home Depot $HD Stock Value Rose, Holder Ajo LP Trimmed Position by $2.04 Million; As Abbvie $ABBV Valuation Decla https://t.co/3Il2gAuw2D'",0,0.066666667
$HD,11/29/2018,"b'Home improvement looks stronger than home construction, analyst says\nhttps://t.co/VbBRLdWsMq @CNBC  $low $hd'",0,0.272727273
$HD,11/29/2018,b'RT @Greenbackd: Joel GreenblattaTMs Gotham Asset Management Top Ten Positions at 9-30-2018: \n\n1. $WMT Walmart\n2. $AAPL Apple\n3. $VZ Verizon\n4a',0,0.066666667
$HD,11/29/2018,"b'As Cardinal Health $CAH Share Value Declined, Keystone Financial Planning Lifted by $937,296 Its Holding; Home Depoa https://t.co/TjM31IlLRQ'",0,-0.071428571
$HD,11/29/2018,b'$HD  Shout out to SA Contributor Nicholas Ward for using #performance #historical #fastraphs in his article:a https://t.co/yctl2QkQH2',0,0
$HD,11/29/2018,"b""Target and Lowe's Have Their Eyes on the Long-Term Prize https://t.co/6ODCrlzz2T $TGT $LOW $LB $HD https://t.co/56GPCUJEkj""",-0.1,0
$HD,11/29/2018,"b""I'm expecting a bounce in retail stocks once the market realizes holiday spending is strong. I like $TGT $HD anda https://t.co/0CzA5r5IZg""",0.266666667,0.076923077
$HD,11/29/2018,"b""Target and Lowe's Have Their Eyes on the Long-Term Prize https://t.co/9ZfqJ3AmBZ $TGT $LOW $LB $HD https://t.co/kSZJpQ1lsi""",0,0
$HD,11/29/2018,b'Home Depot  $HD Shareholder Private Trust Co Lifted Holding; Teachers Retirement System Of The State Of Kentucky Loa https://t.co/eKsxKLW7tN',-0.1,0
$HD,11/29/2018,"b'Centerstate Bk $CSFL Holder Seidman Lawrence B Cut Its Holding; As Home Depot  $HD Stock Price Rose, Clifford Swana https://t.co/Ta8kQ9aoyW'",0,-0.066666667
