Company,Date,Tweet,username,userLocation,followersCount,friendsCount,statusesCount,favouriteCount,GeneralScore,LMScore
$HD,11/29/2018,"b""Macy's $M settled -2.0% at $33.74. S/t price structure is a bear flag. If the main market rolls over, support 29s,a https://t.co/u2uZpjrZIE""",らむあい＠取引垢,四国地方,12,28,7,21,-0.153846154,0
$HD,11/29/2018,b'$HD just out of a 2B reversal held up at the mid BB',Earth Day Every Day,"Earth Day Every Day, CA",14778,12962,4397,116,0,0
$HD,11/29/2018,"b""Target and Lowe's Have Their Eyes on the Long-Term Prize https://t.co/wTSaPseGsa $TGT $LOW $LB $HD https://t.co/Frs5n6LNMc""",えりちん,日本 三重,62,108,1604,910,0,0
$HD,11/29/2018,b'@JoshManMode where do you buy the toys?\nis it $HD or your local hardware store?',Ashley,D[M]V,723,580,21858,1558,0,0
$HD,11/29/2018,b'Blue Chip Partners Has Lifted By $1.00 Million Its Home Depot (HD) Position ... https://t.co/YptH3RQKKw $HD #stocks #stockmarket',PANCAKE05_u_1788,日本,465,3504,30920,7144,0.0625,0.090909091
$HD,11/29/2018,"b""Target and Lowe's Have Their Eyes on the Long-Term Prize https://t.co/VXpJlOE9G4 $TGT $LOW $LB $HD https://t.co/AOuNy5HAY9""",khiikiat,,822,1169,388597,58707,0,0
$HD,11/29/2018,b'$KSS $EFX $DIS $JCI $C $UNH $XOM $ABT $ZAYO $GIS $HD $JWN $ALL $MCD $DG $PFE $PM $V $MO $JNJ $HRB $NCLH Largest MOCa https://t.co/LAtkwEuAfg',Katrina Hoogendam,,109,264,12483,15313,0,0
$HD,11/29/2018,"b'As Ford Mtr Co Del $Call $F Share Value Declined, Masters Capital Management Increased Holding; Alethea Capital Mana https://t.co/pm3W1vsmbL'",Roxxs Fisher,"New Braunfels, TX",1961,2238,42763,14484,0.090909091,-0.0625
$HD,11/29/2018,"b'$HD Home Depot, Inc. (The) SEC Filing: Form 424B2 https://t.co/MUGhrfIv9f'",しばりやトーマス,大阪,1878,1773,154390,1848,0,0
$HD,11/29/2018,b'@DinoFazio @petenajarian $kss $tgt $m $wmt Market is anticipating a slow down next year. These stores are investinga https://t.co/AfwcV6UL9a',葉,,8,27,158,161,-0.090909091,-0.076923077
$HD,11/29/2018,"b'Interesting notes on M-V Optimization exercise: $LULU is much less correlated than other stocks, possibly due to tha https://t.co/EkZFIOF9AH'",れもーん,,2647,2560,7694,8194,-0.083333333,0
$HD,11/29/2018,b'#estate asset watch- price x volume leaders today - $AMZN $AAPL $NFLX $BABA $FB $MSFT $NVDA $AMD $TWTR $BA $QCOMa https://t.co/zBIdJ49zka',Patrick Khayler,,2901,3131,36081,16509,0.2,0
$HD,11/29/2018,b'$HE $SWAY $ONE $ACRE $TOO $MAIN\n$IT $PAY $TWO $SEAS $AGO\n$BWA! $I $MET $MS $HD',巳影・B・極・樹生,楽園以外,1034,2039,158694,27666,0,0
$HD,11/29/2018,b'$HD perfect deal Risk / Reward Ratio 1:3 \n#stockmarket #SPY #QQQ https://t.co/USwR4iRFn3',Tlaloc Rivas,"Pittsburgh, PA",1754,943,33777,8905,-0.153846154,0.222222222
$HD,11/29/2018,b'Made $20K today. Thanks to the option trade alerts from https://t.co/mQJ0u5cyYD $LNG $NTES $XNET $JD $QCOM $ADTNa https://t.co/uRZLfT2S92',jojo lewis,日本 大阪,13,233,4547,10,0,-0.076923077
$HD,11/29/2018,b'Office Depot turns its empty retail space into WeWork-like office rentals - Company recently posted positive earnina https://t.co/n4vWGeFZPY',⚽陽向⚽,,20,37,73,83,0,0.066666667
