,tweet_date,tweet_id,text,user_id,username,userLocation,followersCount,friendsCount,statusesCount,favouriteCount,verified
0,Wed Dec 12 23:51:25 +0000 2018,1073002412598792192,RT @vic_moser: Creeping on me and my posts won’t tell you anything. I could tweet “I’m so done” and be talking about how McDonald’s didn’t…,2800308027,ɕhanϯea 🧜🏽‍♀️,,546,250,3893,3044,False
1,Wed Dec 12 23:51:25 +0000 2018,1073002413060165632,RT @vic_moser: Creeping on me and my posts won’t tell you anything. I could tweet “I’m so done” and be talking about how McDonald’s didn’t…,878811732709388288,Avery,,126,391,191,432,False
2,Wed Dec 12 23:51:28 +0000 2018,1073002426058317824,RT @LookItsDomo: McDonald’s Park Hialeah FL https://t.co/Kfojx3Sx37,2616155617,Kyle,CONUS ,381,195,65429,14002,False
3,Wed Dec 12 23:51:29 +0000 2018,1073002428570759173,"@healthshark7 Joyner, then McDonald. Good luck!",3394038257,Justin Varnes,"Atlanta, GA",1847,85,3922,1601,False
4,Wed Dec 12 23:51:29 +0000 2018,1073002431334760449,Salió McDonald's con amigos!!! 💪💪💪,245265316,Gabriel 🇦🇷🇪🇸,Zaraté,1399,1099,14454,6149,False
5,Wed Dec 12 23:51:30 +0000 2018,1073002436455997440,RT @vic_moser: Creeping on me and my posts won’t tell you anything. I could tweet “I’m so done” and be talking about how McDonald’s didn’t…,1041438832284053504,Michaela 🌞,,85,61,1514,1167,False
6,Wed Dec 12 23:51:33 +0000 2018,1073002448728588288,RT @vic_moser: Creeping on me and my posts won’t tell you anything. I could tweet “I’m so done” and be talking about how McDonald’s didn’t…,553978765,Ky,"Buffalo, NY",1093,503,38750,21596,False
7,Wed Dec 12 23:51:36 +0000 2018,1073002461269495809,RT @emptaes: louis tomlinson is NOT jobless and is in fact very talented! i saw him working at the mcdonald’s drive thru and he didn’t even…,1071708092688203776,katya,"Санкт-Петербург, Россия",3,22,35,82,False
8,Wed Dec 12 23:51:37 +0000 2018,1073002465610461184,RT @vic_moser: Creeping on me and my posts won’t tell you anything. I could tweet “I’m so done” and be talking about how McDonald’s didn’t…,474617151,Lizbeth✨,,763,878,54181,906,False
9,Wed Dec 12 23:51:37 +0000 2018,1073002465497374720,McDonald's dice que reducirá el uso de antibióticos en su carne en todo el mundo. #RSE6 #PREPA2 #UNAM @aprendetips… https://t.co/IAjjqg7dbO,1026954036849856518,GustavoLimonZavala,,3,22,392,9,False
10,Wed Dec 12 23:51:40 +0000 2018,1073002475701985280,"RT @mhdhnf: Benda ni kalau dah sejuk, rasa dia takde beza dengan span kering. https://t.co/M06WikIKtH",827489654,nshra,perak,2081,748,43732,22006,False
11,Wed Dec 12 23:51:40 +0000 2018,1073002478013157377,RT @vic_moser: Creeping on me and my posts won’t tell you anything. I could tweet “I’m so done” and be talking about how McDonald’s didn’t…,2222244222,Light 💡,,280,104,18139,7157,False
12,Wed Dec 12 23:51:42 +0000 2018,1073002484652744705,RT @vic_moser: Creeping on me and my posts won’t tell you anything. I could tweet “I’m so done” and be talking about how McDonald’s didn’t…,541128628,Coco,,689,520,60841,30972,False
13,Wed Dec 12 23:51:43 +0000 2018,1073002490097004544,"RT @Nasirgan: España necesita que puedas trabajar después de 5 años de estudios en los que te has dejado una pasta en másters y carreras, y…",2291720758,TheDaveRex//Excelsior,,180,984,14957,8927,False
14,Wed Dec 12 23:51:46 +0000 2018,1073002500641488896,"im the worst procrastinator, i just took a buzzfeed quiz called “rate these mcdonald’s foods and we’ll guess what you look like”",911037053802074112,katie,"Pennsylvania, USA",51,55,79,704,False
15,Wed Dec 12 23:51:46 +0000 2018,1073002503279538177,RT @vic_moser: Creeping on me and my posts won’t tell you anything. I could tweet “I’m so done” and be talking about how McDonald’s didn’t…,514071253,Sass🌻,"Idaho, USA",323,501,26389,15875,False
16,Wed Dec 12 23:51:48 +0000 2018,1073002508224774145,The end of the semester panic has been horrible for my diet but at least im on a first name basis with the McDonald's cashier,873828775,Blooregard Q. Kazoo,,323,361,7199,11683,False
17,Wed Dec 12 23:51:49 +0000 2018,1073002513291448320,"RT @TYsMochi: Jay is like the ice cream machine at McDonald’s, always broken.",1048452314443464704,⛄,he/him they/them ☃️,108,215,8352,22252,False
18,Wed Dec 12 23:51:56 +0000 2018,1073002545667235845,RT @vic_moser: Creeping on me and my posts won’t tell you anything. I could tweet “I’m so done” and be talking about how McDonald’s didn’t…,3158510575,Shyane Laas,"Simi Valley, CA",152,64,4768,9233,False
19,Wed Dec 12 23:51:57 +0000 2018,1073002548989169670,RT @vic_moser: Creeping on me and my posts won’t tell you anything. I could tweet “I’m so done” and be talking about how McDonald’s didn’t…,341578059,Paige Baker,"Tallahassee, FL",457,744,5939,1234,False
20,Wed Dec 12 23:52:02 +0000 2018,1073002569579065349,"Alaska SIPs home fares well through 7.0 earthquake! Customer Testimonial: 
""Just went through a 7.0 mag earthquake… https://t.co/96Bp9l5nMN",68498073,Premier SIPs,"Puyallup, WA",1816,2017,7715,407,False
21,Wed Dec 12 23:52:06 +0000 2018,1073002585768914944,ang weird ng panaginip ko a. May McDonald's sa banbantay hahahahhaahahah,1017723412209393665,🔅,🤔 ,183,256,2278,1247,False
22,Wed Dec 12 23:52:07 +0000 2018,1073002591813099520,25 page papers...BIG tea,232739904,nik,"planet earth, solar system ",723,1060,46015,99865,False
23,Wed Dec 12 23:52:08 +0000 2018,1073002595084587008,"Vai subir 8 na sequência e logo após aqueles lanches do McDonald's 😎😏🤑🍁
#firmaricaemilionaria
#bondedoverdão
#maroladodia",1060115442453409793,Boa Vista,Morro do boa vista niteroi,214,204,451,1464,False
