,tweet_date,tweet_id,text,user_id,username,userLocation,followersCount,friendsCount,statusesCount,favouriteCount,verified
0,Thu Dec 13 00:13:45 +0000 2018,1073008035637776384,"Known Relatives: Bardouin (Uncle)
Nike (wife)",2493669714,Livius Orvinus,Sun Kingdom,13,12,56997,0,False
1,Thu Dec 13 00:13:47 +0000 2018,1073008041728098304,RT @SOLELINKS: Nike Kyrie 5 PE 'Neon Blends' for his game against the Washington Wizards today =&gt; https://t.co/TIX7FKWlvt https://t.co/60Ux…,3332100754,MJ23,,251,852,26963,2463,False
2,Thu Dec 13 00:13:47 +0000 2018,1073008042675822592,RT @brkicks: .@KyrieIrving will wear the player exclusive Nike Kyrie 5 “Neon Blends” tonight against the Wizards. https://t.co/sKXv4JyLZA,2834137951,lil buddy,,295,261,11451,11298,False
3,Thu Dec 13 00:13:48 +0000 2018,1073008044928262145,RT @brkicks: .@KyrieIrving will wear the player exclusive Nike Kyrie 5 “Neon Blends” tonight against the Wizards. https://t.co/sKXv4JyLZA,813055145713905664,ℝ . 𝐫,Basketball & You ,432,572,4022,11708,False
4,Thu Dec 13 00:13:49 +0000 2018,1073008052457103360,"RT @BR_NBA: Nike x NBA announce new ""Earned"" edition uniforms for all 16 teams who made the 2018 Playoffs https://t.co/VphtMzPCgg",391528949,Jarron Gaddie,,263,377,10044,2712,False
5,Thu Dec 13 00:13:49 +0000 2018,1073008052922667009,"RT @CowboysProShop: SAVE 30% on the HOTTEST #CowboysNation gear this season: Nike long sleeve therma jerseys! 🔥

Shop this 1️⃣ DAY ONLY sal…",912527972309114880,haefs danielle,,44,147,1895,15366,False
6,Thu Dec 13 00:13:50 +0000 2018,1073008053534879744,"RT @tclicK_: US/UK ""Fear of God x Nike"" proxies now available! 

https://t.co/JDUMWa1ufS

5 people will each receive 20 free proxies!

RT +…",760795165858500609,James Jen,"Auckland, New Zealand",5,457,687,483,False
7,Thu Dec 13 00:13:50 +0000 2018,1073008054432620544,RT @brkicks: .@KyrieIrving will wear the player exclusive Nike Kyrie 5 “Neon Blends” tonight against the Wizards. https://t.co/sKXv4JyLZA,416843747,super slime🐍,,1239,972,40103,26989,False
8,Thu Dec 13 00:13:50 +0000 2018,1073008056554979328,RT @SOLELINKS: Nike Kyrie 5 PE 'Neon Blends' for his game against the Washington Wizards today =&gt; https://t.co/TIX7FKWlvt https://t.co/60Ux…,543051923,Blasé,,1202,828,18711,22350,False
9,Thu Dec 13 00:13:52 +0000 2018,1073008062040965120,#current #gymtime #workout #backday #lats @Nike I’ll head to the changing room soon .. What #underwear I am wearing… https://t.co/HjLYPuq3Js,1070152812061896705,FitBoTO,"Toronto, Ontario",132,65,64,64,False
10,Thu Dec 13 00:13:53 +0000 2018,1073008068215128064,RT @brkicks: .@KyrieIrving will wear the player exclusive Nike Kyrie 5 “Neon Blends” tonight against the Wizards. https://t.co/sKXv4JyLZA,1394754367,Nathan,"Tampa, FL",462,308,4911,28157,False
11,Thu Dec 13 00:13:53 +0000 2018,1073008069422927873,RT @brkicks: .@KyrieIrving will wear the player exclusive Nike Kyrie 5 “Neon Blends” tonight against the Wizards. https://t.co/sKXv4JyLZA,497746008,Lakers (17-10),Cooking on 2k,739,461,153652,33718,False
12,Thu Dec 13 00:13:55 +0000 2018,1073008076071059457,RT @brkicks: .@KyrieIrving will wear the player exclusive Nike Kyrie 5 “Neon Blends” tonight against the Wizards. https://t.co/sKXv4JyLZA,2774328618,GIVE EM HELL ‼️🖕🏾(17-10) LAL,EATING WITH FEW‼️ GA🖕🏾,950,1613,135234,23255,False
13,Thu Dec 13 00:13:55 +0000 2018,1073008076813410304,Yo @nike fix the sizing on your Pegasus line. The difference between half sizes is way too different. 7.5 is so big… https://t.co/O0FVW5O3lC,286994832,Dani Dowling,"South Dorchester, Boston",163,501,3147,4430,False
14,Thu Dec 13 00:13:59 +0000 2018,1073008091984056320,RT @brkicks: .@KyrieIrving will wear the player exclusive Nike Kyrie 5 “Neon Blends” tonight against the Wizards. https://t.co/sKXv4JyLZA,1056971320016039936,hades,"Bolorado, USA",461,247,1251,7585,False
15,Thu Dec 13 00:14:01 +0000 2018,1073008101337387008,"RT @NEILSHOTDEALS: Check out USA Nike Soccer  USMNT White PULLOVER HOODIE Men's Lg US "" Haters Welcome"" Used #Nike https://t.co/vBjaB1Guwz…",4302840019,IndispensableMustHav,,692,633,21087,175,False
16,Thu Dec 13 00:14:01 +0000 2018,1073008102319030274,RT @brkicks: .@KyrieIrving will wear the player exclusive Nike Kyrie 5 “Neon Blends” tonight against the Wizards. https://t.co/sKXv4JyLZA,243967189,Ke🐐,StayTuned....,1868,1880,70006,2427,False
17,Thu Dec 13 00:14:03 +0000 2018,1073008107750592512,Check out Nike Dunk Sky Hi High Wedge Orange (White Swoosh) Suede Sz 9 RARE https://t.co/eQVmT1D0mJ ⁦@eBay⁩,1041744510617886721,Charlene,,0,3,1896,1,False
18,Thu Dec 13 00:14:04 +0000 2018,1073008115614932993,RT @brkicks: .@KyrieIrving will wear the player exclusive Nike Kyrie 5 “Neon Blends” tonight against the Wizards. https://t.co/sKXv4JyLZA,460126796,Gloku,,1465,4998,112395,161436,False
19,Thu Dec 13 00:14:05 +0000 2018,1073008117980381184,RT @kleinman_anna: DM me for my sexy pics &amp; vids 😊like &amp; retweet for more #tits #cock #bbc #cumtribute #nude #paypig #dm #horny #teen #nike…,1040821253655814149,Myahxnia9779,,73,509,18,92,False
